,movie_name,year,genre,Poster_url,director,cast,overview
1775,Meri Jung,1985,"Action, Drama",,Subhash Ghai,"Anil Kapoor, Girish Karnad, Nutan, Amrish Puri",Two top lawyers battle against each other while the whole city witnesses the battle.
1776,Love,1991,"Drama, Musical, Romance",,Suresh Krishna,"Salman Khan, Arun Bakshi, Rita Bhaduri, Sunil Dhawan","Prithvi and Maggie fall in love and decide to get married, but Maggie's mother objects looking at Prithvi's past."
1777,Family: Ties of Blood,2006,"Action, Crime, Drama",,Rajkumar Santoshi,"Amitabh Bachchan, Akshay Kumar, Bhoomika Chawla, Aryeman Ramsay",A slacker abducts the family of a crime kingpin to avenge the death of his brother.
1778,London Dreams,2009,"Drama, Music",,Vipul Amrutlal Shah,"Salman Khan, Ajay Devgn, Om Puri, Aditya Roy Kapoor","The story revolves around two childhood friends Arjun and Munnu who find a way to get from a small village in India to Wembley as Rock stars, having overcome their personalities."
1779,C U at 9,2005,"Drama, Horror, Mystery",,Marion Rodrigues,"Isaiah, Malavika Nair, Kanksha, Marion Rodrigues",A film producer named Romeo falls in love with a mysterious woman named Juliet.
1780,Balwaan,1992,"Action, Adventure",,Deepak Anand,"Suniel Shetty, Divya Bharti, Danny Denzongpa, Avtar Gill",Arjun Singh lives with his mother and sister; he takes it upon himself to fight injustice. This gets notice by the police commissioner who decides to enlist Arjun into the police force and ...                See full summary »
1781,Aashiqui 3,,"Drama, Music, Romance",,Anurag Basu,Kartik Aaryan,Plot unknown.
1782,Veergati,1995,"Action, Drama",,K.K. Singh,"Salman Khan, Atul Agnihotri, Sudesh Berry, Pooja Dadwal","A gangster and his flunkies abduct and kill a man's daughter. Soon, the man's adopted son sets out to avenge her death."
1783,Perversion,2020,Drama,,Sandeep Patra,"Adiya, Natasha, Sneha, Tanisha",Perversion is story of Family where every member has different perversions.
1784,Eklavya,2007,"Action, Drama, Mystery",,Vidhu Vinod Chopra,"Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt, Vidya Balan","As the kingdom of Devigarh comes apart at the seams, an aging bodyguard attempts to protect the Royal Family, as well as keep its darkest secrets from ever coming to light."
1785,Kunwara Baap,1974,"Comedy, Drama",,Mehmood,"Mehmood, Bharathi, Aachi Manorama, Bhushan Tiwari",A poor rickshaw-puller adopts an abandoned child and brings him up as his son but tragedy strikes when the boy becomes crippled as a result of polio infection.
1786,Junglee Tarzan,2001,Action,,Kishan Shah,"Vijay Saxena, Nisha Kamat, Joginder Shelly, Jr. Shah Rukh Khan",A group of hunters come into a dense forest to recover a hidden treasure. Dacoit Aiappan captures this forest and is also searching for those valuable treasures. A jungle lady Bela confronts and restrains them from doing further wrong.
1787,Naram Garam,1981,"Comedy, Drama",,Hrishikesh Mukherjee,"Amol Palekar, Swaroop Sampat, Utpal Dutt, A.K. Hangal",An impoverished employee tries to prevent his superiors and employers from marrying his sweetheart.
1788,High Jack,2018,Comedy,,Akarsh Khurana,"Sumeet Vyas, Mantra Mugdh, Sonnalli Seygall, Boloram Das",Four angry employees hijack a Goa to Delhi plane to settle their dues and take revenge against their employer. Things take a turn when the passengers accidentally consume drinks laced with drugs.
1789,Baaghi: A Rebel for Love,1990,"Action, Drama, Romance",,Deepak S. Shivdasani,"Salman Khan, Nagma, Shakti Kapoor, Kiran Kumar","A saga of love as a man turns rebellious and goes against his family and society to protect his love, a prostitute from evil."
1790,Tevar,2015,"Action, Drama, Romance",,Amit Ravindernath Sharma,"Arjun Kapoor, Sonakshi Sinha, Manoj Bajpayee, Deepti Naval","Caught in the middle of a lethal unrequited love, an athlete protects a young woman from an unwanted marriage."
1791,Tuesdays and Fridays,2021,"Comedy, Musical, Romance",,Taranveer Singh,"Anmol Dhillon, Jhataleka Malhotra, Niki Walia, Zoa Morani","To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won't get complicated - right?"
1792,Maa Tujhhe Salaam,2002,"Action, Drama",,Tinnu Verma,"Sunny Deol, Tabu, Arbaaz Khan, Tinnu Verma",Major Pratab Singh works in the Indian army and he and his battalion has been assigned duty near the Indo-Pakistan border. There duty mainly consists of eliminating any terrorists trying to...                See full summary »
1793,Bombairiya,2019,"Comedy, Crime, Drama",,Pia Sukanya,"Radhika Apte, Akshay Oberoi, Siddhant Kapoor, Ravi Kishan","A PR agent trying to find her stolen phone, a politician in trouble and a fading celebrity find their lives intertwined in unexpected, messy ways."
1794,Chitrakut,2022,Drama,,Himanshu Malik,"Auritra Ghosh, Vibhore Mayank, Naina Trivedi, Shruti Bapna","Set against a lush Western Indian landscape during the monsoon season, CHITRAKUT delicately sets the tone, interweaving the lives of Saloni, Shaan, Debu, Alisha and Kim - all converging at ...                See full summary »"
1795,Ajanabee,1974,"Drama, Romance",,Shakti Samanta,"Rajesh Khanna, Zeenat Aman, Prem Chopra, Govardhan Asrani","Pregnant Reshmi decides not to have the baby after she wins a beauty pageant. But her husband Rohit doesn't agree, so she walks out of the marriage. Now, Rohit must try to win her back."
1796,Page 3,2005,Drama,,"Madhur Bhandarkar, Jay Dev Banerjee","Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul, Tara Sharma",A look at Mumbai's socialite party circle world through the eyes of a Page 3 journalist.
1797,Geraftaar,1985,"Action, Drama",,Prayag Raj,"Kamal Haasan, Poonam Dhillon, Amitabh Bachchan, Madhavi","Kishan Kumar Khanna is a well-rate film actor who falls head over heels in love with young, beautiful and attractive Anuradha Saxena much to the dislikeness of her gangster brother who ...                See full summary »"
1798,Masti,2004,"Comedy, Crime, Mystery",,Indra Kumar,"Ajay Devgn, Vivek Oberoi, Aftab Shivdasani, Riteish Deshmukh","Bored of their wives, best friends, Meet, Prem and Amar, reunite after three years and decide to have an affair - but instead become the prime suspects in a murder investigation."
1799,Love Per Square Foot,2018,"Comedy, Romance",,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghubir Yadav","Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience."
1800,Aankhen,2002,"Crime, Drama, Thriller",,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal","After a temperamental man is unceremoniously stripped of his duties as a bank manager, he decides to seek revenge by robbing the bank. He trains three blind men to do this risky task for him."
1801,Daud: Fun on the Run,1997,"Action, Adventure, Comedy",,Ram Gopal Varma,"Sanjay Dutt, Urmila Matondkar, Paresh Rawal, Neeraj Vora","Nandu, a small-time thief, is assigned to smuggle an unknown packet for a petty amount. With the police pursuing him, Nandu has to elude them and deliver the packet on time."
1802,The Ladykiller,, ,,Ajay Bahl,"Bhumi Pednekar, Arjun Kapoor, Backagaindancer, Mrityunjay Pandey","When a small-town playboy falls in love for a dangerous girl, they embark on a journey of a dangerous romance."
1803,Bypass Road,2019,"Drama, Mystery, Thriller",,Naman Nitin Mukesh,"Neil Nitin Mukesh, Adah Sharma, Gul Panag, Taher Shabbir",The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town.
1804,Durgamati: The Myth,2020,"Horror, Thriller",,Ashok G.,"Bhumi Pednekar, Mahie Gill, Arshad Warsi, Jisshu Sengupta","A bureaucrat is imprisoned in a haunted house for interrogation. However, things take an unexpected turn when she gets possessed by a spirit."
1805,Abhimaan,1973,"Drama, Musical",,Hrishikesh Mukherjee,"Amitabh Bachchan, Jaya Bachchan, Govardhan Asrani, Bindu Desai","A popular singer convinces his new wife to enter show-business, but his pride is wounded when she outshines him."
1806,Penthouse,2023,"Crime, Mystery, Thriller",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Manjari Fadnnis, Mouni Roy, Bobby Deol, Arjun Rampal",A debauchery-filled gathering for five friends turns into a test of friendship and a web of suspicion when a dead body is found in their rented home.
1807,Dus,1997,Action,,Mukul Anand,"Rahul Dev, Sanjay Dutt, Salman Khan, Vinod Khanna",Terrorist Mast Gul blows up Kashmir's Charar E Shariff mosque; Indian Army General sends undercover Captains Raja Sethi and Jeet Sharma to capture him and aide Nasheman from Afghanistan.
1808,Thokar,1974,"Action, Drama, Family",,Dilip Bose,"Baldev Khosa, Alka, Poonam Vaidya, Mehmood Jr.","After being released from jail, Shyamu returns home to his village and his home to his mom, and blind sister, Radha. Shyamu and his mom try to get Radha married, but in vain, as no one ...                See full summary »"
1809,Tum Bin...: Love Will Find a Way,2001,"Drama, Romance",,Anubhav Sinha,"Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Raqesh Bapat","Shekhar accidentally kills his associate Amar, and decides to watch over Amar's company and take care of his family and friends. However, he falls in love with Amar's fiancé Piya."
1810,Gandhi Godse Ek Yudh,2023,"Drama, History",,Rajkumar Santoshi,"Deepak Antani, Chinmay Mandlekar, Tanisha Santoshi, Anuj Saini",The fictional world where Mahatma Gandhi survives the attack on him and later meets Nathuram Godse in prison. Their conversation leads to a fiery debate between them.
1811,Shivaay,2016,"Action, Adventure, Crime",,Ajay Devgn,"Ajay Devgn, Abigail Eames, Erika Kaar, Sayyeshaa Saigal",A skilled mountaineer races against time to rescue his mute daughter from the clutches of human traffickers in Bulgaria.
1812,Ajooba,1991,"Action, Adventure, Comedy",,"Shashi Kapoor, Gennadiy Vasilev","Amitabh Bachchan, Dimple Kapadia, Rishi Kapoor, Sonam","The evil Vizier of Baharistan kills the royal family and takes power himself but the real crown prince, who has survived his machinations, returns to his homeland to avenge his parents as a masked vigilante 'Ajooba'."
1813,Naajayaz,1995,"Action, Drama",,Mahesh Bhatt,"Naseeruddin Shah, Ajay Devgn, Juhi Chawla, Deepak Tijori","Inspector Jai is an upright and fearless cop who is given the job to take down the criminal empire of Raj Solanki. Jai and his accomplice Inspector Sandhya, who also happens to be his love, start taking down Raj's empire with gusto."
1814,Oru Kaidhiyin Diary,1985,"Crime, Drama, Thriller",,Bharathiraja,"Kamal Haasan, Revathi, Radha, Janakaraj","Though David is loyal to Suryaprakash, a politician, he rapes and kills David's wife and sends him to jail. He comes back from jail, after serving life imprisonment to exact his revenge."
1815,Junglemahal: The Awakening,2023,Horror,,Arunava Chowdhury,"Masoomeh Ab, Aditya Baliyan, Farhad Khairy, Suraiya Parvin",Loosely based on real incidents in the monsoon of mid 80s during the uprising of naxalites in eastern ghat range a group of travellers travels through the deep forests to reach the rescue ...                See full summary »
1816,Apno Se Bewafai,2023,Drama,,Prakash Bhalekar,"Sonam Arora, Soni Bhoir, Mahima Chaudhry, Irrfan Khan","""Vishal (played by Irfan Khan) arrives in Mumbai with dreams of becoming an actor but finds limited success, only landing small roles that barely sustain him. Desperate and lacking money, ...                See full summary »"
1817,Desh Premee,1982,"Action, Comedy, Drama",,Manmohan Desai,"Amitabh Bachchan, Hema Malini, Navin Nischol, Parveen Babi","Master Dinanath is an ex-freedom fighter. When he gets Thakur Pratap Singh arrested for arms smuggling, he has Master's wife Bharati and young daughter Priti kidnapped and also turns his ...                See full summary »"
1818,Gang,2000,"Action, Crime, Drama",,Mazhar Khan,"Jackie Shroff, Nana Patekar, Kumar Gaurav, Jaaved Jaaferi","After falling prey to underworld, four friends jeopardize their personal lives with point of no return."
1819,Tapa Tap,2021,Romance,,Mazhar Khan,"Jackie Shroff, Nana Patekar, Kumar Gaurav, Jaaved Jaaferi",Add a Plot
1820,Chalti Ka Naam Gaadi,1958,"Comedy, Musical, Romance",,Satyen Bose,"Ashok Kumar, Madhubala, Anoop Kumar, Kishore Kumar",Three woman-hating brothers face changes in their respective lifestyles when two of them fall in love.
1821,Tezz,2012,"Action, Crime, Drama",,Priyadarshan,"Anil Kapoor, Ajay Devgn, Mohanlal, Kangana Ranaut","To avenge his past, Aakash Rana plants a bomb in a train endangering the lives of 500 passengers."
1822,Pyasa Darinda,1990,Horror,,Priyadarshan,"Anil Kapoor, Ajay Devgn, Mohanlal, Kangana Ranaut",Add a Plot
1823,Budhia Singh: Born to Run,2016,"Biography, Drama, Sport",,Soumendra Padhi,"Manoj Bajpayee, Mayur Mahendra Patole, Gajraj Rao, Tillotama Shome","A biopic about Budhia Singh, the world's youngest marathon runner whose story garnered controversy and inspiration around the world."
1824,Kaash,1987,Drama,,Mahesh Bhatt,"Jackie Shroff, Dimple Kapadia, Master Makrand, Anupam Kher",A Bollywood actor-turned-producer faces marital and financial challenges.
1825,I - Proud to Be an Indian,2004,"Action, Crime, Drama",,Puneet Sira,"Sohail Khan, Tim Lawrence, Mona Ambegaonkar, Scott Hinds",I is an Indian. He travels to London for a family wedding and finds his family live in fear of the terrorism by National Front Skinheads and finds he has to become involved which escalates the situation.
1826,Criminal,1994,"Action, Romance, Thriller",,Mahesh Bhatt,"Nagarjuna Akkineni, Manisha Koirala, Ramya Krishnan, Laxmikant Berde","After witnessing the sudden death of a woman, who was unable to afford hospital treatment, Dr. Ajay Kumar cancels his immigration to America and instead sets out to build a hospital that ...                See full summary »"
1827,Force,2011,"Action, Crime, Drama",,Nishikant Kamat,"John Abraham, Genelia Deshmukh, Vidyut Jammwal, Raj Babbar",A vengeful gangster targets and terrorizes an entire police unit and their families.
1828,Judaai,1997,"Comedy, Drama, Romance",,Raj Kanwar,"Anil Kapoor, Sridevi, Urmila Matondkar, Paresh Rawal","In order to attain wealth and a luxurious life, a greedy wife sells her husband to a rich woman. However she realizes that with a luxurious life, she has to pay a heavy price for this decision."
1829,Tom Dick and Harry Returns,2021,Comedy,,Deepak Tijori,"Jimmy Shergill, Pooja Chopra, Sanjay Dutt, Nazia Hussain","Three struggling friends hit upon new means to live a happy life, by imposing as COPS. v Wearing the uniform makes them an overnight neighborhood sensation. v Life changes when these Fake ...                See full summary »"
1830,Padikkathavan,1985,Drama,,Rajasekar,"Rajinikanth, Ambika, Vijay Babu, Shivaji Ganesan","Two brothers are ousted from their house by their stepbrother's wife. Years later, when one of the brothers is framed for a murder, his stepbrother, who is a judge, returns as a lawyer to save him."
1831,Souten,1983,"Drama, Musical, Romance",,Saawan Kumar Tak,"Rajesh Khanna, Tina Ambani, Padmini Kolhapure, Prem Chopra","Shyam, a middle-class man, falls in love with a millionaire's daughter and marries her. However, as their relationship starts deteriorating, Shyam finds solace in the company of Radha."
1832,Caravan,1971,"Action, Comedy, Musical",,Nasir Hussain,"Asha Parekh, Jeetendra, Aruna Irani, Mehmood Jr.","Sunita is a young woman who ends up married to the wrong man, Rajan. Thinking that he has conspired with his girlfriend, Monica to murder her, she runs away to find an old friend of her ...                See full summary »"
